"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","61","42","6","258.521820","0","197"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","10","1","18.511303","0","47"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","8.796318","0","15"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","10","1","35.733295","0","85"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","10","1","12.359232","0","18"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","11.618899","0","18"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","2.438282","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","12","1","19.189215","0","16"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","24","8","1","42.359478","0","83"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","2.619248","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","8","1","13.944176","0","8"
"/OpenXR/Devices/M_XRController.M_XRController","0","12","32","3","21.150677","0","34"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","13.377141","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","3","1","145.187378","0","449"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","9","1","190.924347","0","902"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","725","6","1","764.720764","0","37561"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","85","10","1","103.451057","0","522"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","147","3","1","221.784134","0","1901"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","2.559483","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","66","25","2","90.563667","0","418"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","11.460869","0","8"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","74","4","1","109.991257","0","602"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","121","6","1","158.579620","0","1274"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","74","6","1","109.874756","0","587"
